Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 16:01:37.920,d7:c3:4a:8c:31:30, 2015-01-01 00:16:16.685, 0.148, -0.019, 1.018, 0, 0, 0, -1.099, -8.273, -76.981, -9.996, 2.254, 3.136, 26, -0.78015, 0.05237, 0.05051, 0.62125,
 16:01:37.984,d7:c3:4a:8c:31:30, 2015-01-01 00:16:17.100, 0.135, -0.02, 1.018, 0, 0, 0, -1.099, -8.273, -76.981, -9.996, 2.254, 3.136, 26, -0.78015, 0.05237, 0.05051, 0.62125,
 16:01:38.114,d7:c3:4a:8c:31:30, 2015-01-01 00:16:17.100, 0.078, -0.023, 1.023, 1.892, 0.183, -0.305, -1.022, -8.196, -77.009, -9.996, 2.254, 3.136, 26, -0.78015, 0.05237, 0.05051, 0.62125,
 16:01:38.206,d7:c3:4a:8c:31:30, 2015-01-01 00:16:17.100, 0.314, -0.005, 1.027, 2.625, -3.601, 1.343, -0.84, -8.015, -76.954, -9.996, 2.352, 3.136, 26, -0.78015, 0.05237, 0.05051, 0.62125,
 16:01:38.335,d7:c3:4a:8c:31:30, 2015-01-01 00:16:17.455, -0.086, 0.039, 0.917, 5.981, 25.574, 1.526, -0.467, -7.8, -77.141, -9.996, 2.352, 3.136, 26, -0.77972, 0.04645, 0.05127, 0.62222,
 16:01:38.424,d7:c3:4a:8c:31:30, 2015-01-01 00:16:17.455, -0.317, -0.06, 0.944, 0.854, 15.381, -2.747, -1.274, -2.659, -76.295, -9.996, 2.352, 3.136, 26, -0.77972, 0.04645, 0.05127, 0.62222,
 16:01:38.546,d7:c3:4a:8c:31:30, 2015-01-01 00:16:17.455, 1.041, -0.242, 0.582, 30.762, -204.956, 32.349, -0.505, -3.851, -75.866, -9.996, 2.352, 3.136, 26, -0.77972, 0.04645, 0.05127, 0.62222,
 16:01:38.580,d7:c3:4a:8c:31:30, 2015-01-01 00:16:17.455, 0.558, -0.253, 1.29, 33.203, -59.631, 74.89, -0.472, -23.648, -71.752, -9.996, 2.352, 3.136, 26, -0.77972, 0.04645, 0.05127, 0.62222,
 16:01:38.716,d7:c3:4a:8c:31:30, 2015-01-01 00:16:17.455, 0.25, 0.096, 0.82, 48.645, 64.575, 131.897, -0.593, -24.115, -61.672, -10.192, 2.254, 3.038, 26, -0.86591, 0.10071, 0.17426, 0.45782,
 16:01:38.813,d7:c3:4a:8c:31:30, 2015-01-01 00:16:17.905, 0.107, 0.066, 0.812, 57.434, 10.864, 148.315, -1.192, -22.313, -48.027, -10.192, 2.254, 3.038, 26, -0.86591, 0.10071, 0.17426, 0.45782,
 16:01:38.925,d7:c3:4a:8c:31:30, 2015-01-01 00:16:17.905, 0.371, 0.319, 0.269, 67.993, 19.226, 152.588, -0.895, -21.006, -34.437, -10.192, 2.254, 3.038, 26, -0.86591, 0.10071, 0.17426, 0.45782,
 16:01:39.027,d7:c3:4a:8c:31:30, 2015-01-01 00:16:17.905, 0.242, -0.072, 1.265, 57.312, 12.329, 156.921, -0.709, -20.462, -21.352, -9.506, 2.156, 2.156, 26, -0.86591, 0.10071, 0.17426, 0.45782,
 16:01:39.137,d7:c3:4a:8c:31:30, 2015-01-01 00:16:17.905, 0.233, 0.168, 0.918, 44.434, 5.615, 148.987, -0.775, -19.276, -8.86, -9.506, 2.156, 2.156, 26, -0.98279, 0.01959, 0.16638, 0.0773,
 16:01:39.179,d7:c3:4a:8c:31:30, 2015-01-01 00:16:18.350, 0.425, 0.116, 1.128, 38.635, -13.611, 148.132, -0.659, -19.319, 2.675, -9.506, 2.156, 2.156, 26, -0.98279, 0.01959, 0.16638, 0.0773,
 16:01:39.326,d7:c3:4a:8c:31:30, 2015-01-01 00:16:18.350, 0.213, 0.121, 0.992, 43.03, 8.179, 152.954, -1.208, -20.517, 13.623, -9.506, 2.156, 2.156, 26, -0.98279, 0.01959, 0.16638, 0.0773,
 16:01:39.412,d7:c3:4a:8c:31:30, 2015-01-01 00:16:18.350, 0.181, 0.152, 0.498, 46.326, -8.24, 147.522, -1.555, -19.836, 24.269, -11.760, 2.058, 2.842, 26, -0.98279, 0.01959, 0.16638, 0.0773,
 16:01:39.568,d7:c3:4a:8c:31:30, 2015-01-01 00:16:18.680, 0.255, 0.338, -0.107, 26.184, -19.043, 142.456, -3.016, -20.193, 34.118, -11.760, 2.058, 2.842, 26, -0.93875, -0.0314, 0.16891, -0.29852,
 16:01:39.608,d7:c3:4a:8c:31:30, 2015-01-01 00:16:18.680, 0.563, 0.373, 0.297, 56.274, 44.8, 132.812, -2.758, -23.577, 42.127, -11.760, 2.058, 2.842, 26, -0.93875, -0.0314, 0.16891, -0.29852,
 16:01:39.726,d7:c3:4a:8c:31:30, 2015-01-01 00:16:18.680, 0.77, 0.039, 0.782, 55.237, 2.625, 147.522, -3.642, -23.203, 51.619, -11.760, 2.058, 2.842, 26, -0.93875, -0.0314, 0.16891, -0.29852,
 16:01:39.846,d7:c3:4a:8c:31:30, 2015-01-01 00:16:18.680, 0.424, 0.015, 1.614, 45.959, -2.625, 139.954, -4.235, -23.022, 60.969, -12.348, 2.156, 2.548, 26, -0.93875, -0.0314, 0.16891, -0.29852,
 16:01:39.938,d7:c3:4a:8c:31:30, 2015-01-01 00:16:18.680, 0.475, 0.138, 1.106, 45.837, -27.466, 150.146, -4.691, -22.78, 70.444, -12.348, 2.156, 2.548, 26, -0.80231, -0.08176, 0.18512, -0.56149,
 16:01:39.991,d7:c3:4a:8c:31:30, 2015-01-01 00:16:19.155, 0.164, 0.248, 1.15, 60.12, -22.461, 151.55, -4.598, -22.736, 79.827, -12.348, 2.156, 2.548, 26, -0.80231, -0.08176, 0.18512, -0.56149,
 16:01:40.157,d7:c3:4a:8c:31:30, 2015-01-01 00:16:19.155, 0.645, -0.092, 1.088, 35.339, -37.781, 151.794, -4.779, -22.456, 88.726, -12.348, 2.156, 2.548, 26, -0.80231, -0.08176, 0.18512, -0.56149,
 16:01:40.200,d7:c3:4a:8c:31:30, 2015-01-01 00:16:19.155, 0.466, 0.105, 0.88, 50.659, 14.771, 142.944, -5.284, -23.978, 97.119, -13.916, 2.156, 3.528, 26, -0.80231, -0.08176, 0.18512, -0.56149,
 16:01:40.340,d7:c3:4a:8c:31:30, 2015-01-01 00:16:19.485, 0.42, 0.119, 1.06, 50.11, -3.296, 145.508, -5.817, -23.857, 105.623, -13.916, 2.156, 3.528, 26, -0.58472, -0.13416, 0.16086, -0.78366,
 16:01:40.427,d7:c3:4a:8c:31:30, 2015-01-01 00:16:19.485, 0.639, 0.133, 1.004, 54.688, 13.855, 141.785, -5.971, -22.456, 123.871, -13.916, 2.156, 3.528, 26, -0.58472, -0.13416, 0.16086, -0.78366,
 16:01:40.554,d7:c3:4a:8c:31:30, 2015-01-01 00:16:19.485, 0.428, 0.095, 1.183, 61.523, -28.564, 142.822, -5.806, -22.258, 145.618, -13.916, 2.156, 3.528, 26, -0.58472, -0.13416, 0.16086, -0.78366,
 16:01:40.590,d7:c3:4a:8c:31:30, 2015-01-01 00:16:19.485, 0.842, 0.008, 0.865, 61.279, -5.981, 141.479, -5.125, -21.094, 166.932, -13.524, 2.254, 4.704, 26, -0.58472, -0.13416, 0.16086, -0.78366,
 16:01:40.724,d7:c3:4a:8c:31:30, 2015-01-01 00:16:19.485, 0.418, -0.305, 2.072, 75.867, -19.348, 142.7, -2.917, -20.149, -173.04, -13.524, 2.254, 4.704, 26, 0.07291, -0.17688, 0.00891, -0.98145,
 16:01:40.828,d7:c3:4a:8c:31:30, 2015-01-01 00:16:19.900, 0.533, -0.154, 0.69, 67.993, -4.456, 147.095, -1.686, -19.957, -153.781, -13.524, 2.254, 4.704, 26, 0.07291, -0.17688, 0.00891, -0.98145,
 16:01:40.940,d7:c3:4a:8c:31:30, 2015-01-01 00:16:19.900, 0.392, 0.2, 1.083, 60.303, -15.381, 144.409, -0.725, -19.858, -134.868, -13.524, 2.254, 4.704, 26, 0.07291, -0.17688, 0.00891, -0.98145,
 16:01:41.011,d7:c3:4a:8c:31:30, 2015-01-01 00:16:19.900, 0.396, 0.195, 0.975, 49.927, -14.465, 142.578, 0.456, -19.731, -116.856, -9.996, 2.254, 2.842, 26, 0.07291, -0.17688, 0.00891, -0.98145,
 16:01:41.196,d7:c3:4a:8c:31:30, 2015-01-01 00:16:20.255, 0.435, 0.176, 0.805, 57.861, 8.545, 148.132, 1.115, -20.533, -99.641, -9.996, 2.254, 2.842, 26, 0.63608, -0.12997, -0.12231, -0.75061,
 16:01:41.221,d7:c3:4a:8c:31:30, 2015-01-01 00:16:20.255, 0.393, 0.155, 1, 59.692, -10.315, 146.057, 1.357, -21.462, -83.199, -9.996, 2.254, 2.842, 26, 0.63608, -0.12997, -0.12231, -0.75061,
 16:01:41.341,d7:c3:4a:8c:31:30, 2015-01-01 00:16:20.255, 0.424, 0.13, 1.031, 45.044, -26.184, 143.86, 2.422, -21.517, -67.813, -9.996, 2.254, 2.842, 26, 0.63608, -0.12997, -0.12231, -0.75061,
 16:01:41.479,d7:c3:4a:8c:31:30, 2015-01-01 00:16:20.255, 0.4, 0.152, 0.889, 60.364, 17.7, 150.269, 2.203, -22.544, -53.163, -9.898, 2.058, 2.352, 26, 0.63608, -0.12997, -0.12231, -0.75061,
 16:01:41.521,d7:c3:4a:8c:31:30, 2015-01-01 00:16:20.255, 0.324, 0.124, 0.934, 52.429, -1.587, 145.142, 1.719, -23.066, -39.144, -9.898, 2.058, 2.352, 26, 0.93961, -0.04495, -0.19614, -0.2767,
 16:01:41.610,d7:c3:4a:8c:31:30, 2015-01-01 00:16:20.735, 0.328, 0.16, 0.96, 43.274, -23.865, 143.799, 1.055, -23.632, -26.115, -9.898, 2.058, 2.352, 26, 0.93961, -0.04495, -0.19614, -0.2767,
 16:01:41.784,d7:c3:4a:8c:31:30, 2015-01-01 00:16:20.735, 0.055, 0.144, 0.919, 46.204, -3.418, 149.78, -0.044, -24.543, -13.618, -9.898, 2.058, 2.352, 26, 0.93961, -0.04495, -0.19614, -0.2767,
 16:01:41.821,d7:c3:4a:8c:31:30, 2015-01-01 00:16:20.735, 1.036, 0.098, 2.331, -9.46, -21.179, 138.977, -1.884, -25.598, -1.686, -9.898, 2.058, 2.352, 26, 0.93961, -0.04495, -0.19614, -0.2767,
 16:01:41.996,d7:c3:4a:8c:31:30, 2015-01-01 00:16:20.735, 0.199, -0.03, 1.103, 45.471, -1.648, 100.647, -1.989, -29.745, 7.586, -11.956, 2.156, 2.842, 26, 0.95865, 0.00394, -0.26431, 0.10501,
 16:01:41.999,d7:c3:4a:8c:31:30, 2015-01-01 00:16:21.150, 0.394, -0.22, 0.888, 65.491, -3.357, 146.118, -4.048, -29.685, 17.672, -11.956, 2.156, 2.842, 26, 0.95865, 0.00394, -0.26431, 0.10501,
 16:01:42.120,d7:c3:4a:8c:31:30, 2015-01-01 00:16:21.150, 0.218, 0.354, 0.363, 51.331, -20.264, 135.254, -5.674, -29.042, 28.361, -11.956, 2.156, 2.842, 26, 0.95865, 0.00394, -0.26431, 0.10501,
 16:01:42.297,d7:c3:4a:8c:31:30, 2015-01-01 00:16:21.150, 0.318, 0.065, 0.688, 59.875, -11.963, 143.188, -6.378, -27.383, 38.584, -11.956, 2.156, 2.842, 26, 0.95865, 0.00394, -0.26431, 0.10501,
 16:01:42.360,d7:c3:4a:8c:31:30, 2015-01-01 00:16:21.150, 0.621, 0.12, 0.653, 66.65, 37.354, 148.56, -6.553, -27.675, 48.587, -12.936, 2.156, 2.842, 26, 0.95865, 0.00394, -0.26431, 0.10501,
 16:01:42.422,d7:c3:4a:8c:31:30, 2015-01-01 00:16:21.150, 0.615, 0.194, 1.481, 58.838, -5.005, 140.869, -7.048, -26.68, 58.118, -12.936, 2.156, 2.842, 26, 0.83932, 0.06451, -0.23505, 0.48581,
 16:01:42.591,d7:c3:4a:8c:31:30, 2015-01-01 00:16:21.600, 0.378, 0.131, 1.485, 59.509, -19.409, 133.362, -7.542, -27.647, 66.923, -12.936, 2.156, 2.842, 26, 0.83932, 0.06451, -0.23505, 0.48581,
 16:01:42.629,d7:c3:4a:8c:31:30, 2015-01-01 00:16:21.600, 0.348, 0.151, 0.726, 64.209, 9.399, 141.174, -7.663, -27.477, 75.19, -12.936, 2.156, 2.842, 26, 0.83932, 0.06451, -0.23505, 0.48581,
 16:01:42.751,d7:c3:4a:8c:31:30, 2015-01-01 00:16:21.600, 0.379, 0.077, 0.747, 71.167, -4.944, 135.559, -8.026, -26.06, 83.837, -14.504, 2.156, 4.410, 26, 0.83932, 0.06451, -0.23505, 0.48581,
 16:01:42.865,d7:c3:4a:8c:31:30, 2015-01-01 00:16:21.600, 0.492, 0.06, 0.953, 60.852, -37.109, 132.568, -8.113, -24.966, 92.032, -14.504, 2.156, 4.410, 26, 0.67487, 0.11331, -0.19931, 0.70132,
 16:01:42.959,d7:c3:4a:8c:31:30, 2015-01-01 00:16:21.985, 0.152, 0.119, 0.807, 65.735, 15.198, 143.311, -7.987, -24.807, 100.184, -14.504, 2.156, 4.410, 26, 0.67487, 0.11331, -0.19931, 0.70132,
 16:01:43.027,d7:c3:4a:8c:31:30, 2015-01-01 00:16:21.985, 0.385, -0.038, 0.19, 125.061, 26.062, 124.329, -6.773, -23.154, 109.05, -14.504, 2.156, 4.410, 26, 0.67487, 0.11331, -0.19931, 0.70132,
 16:01:43.170,d7:c3:4a:8c:31:30, 2015-01-01 00:16:21.985, 0.36, 0.182, 1.188, 65.796, 12.939, 137.817, -5.07, -21.967, 130.199, -11.662, 2.254, 3.822, 26, 0.67487, 0.11331, -0.19931, 0.70132,
 16:01:43.240,d7:c3:4a:8c:31:30, 2015-01-01 00:16:21.985, 0.583, 0.115, 0.637, 63.843, 7.751, 142.09, -3.23, -20.698, 151.639, -11.662, 2.254, 3.822, 26, 0.16476, 0.16861, -0.04953, 0.97049,
 16:01:43.350,d7:c3:4a:8c:31:30, 2015-01-01 00:16:22.400, 0.423, 0.188, 1.053, 67.566, -6.104, 141.663, -1.494, -19.863, 172.584, -11.662, 2.254, 3.822, 26, 0.16476, 0.16861, -0.04953, 0.97049,
 16:01:43.496,d7:c3:4a:8c:31:30, 2015-01-01 00:16:22.400, 0.378, 0.095, 0.992, 63.293, -4.578, 142.578, 0.703, -19.286, -167.338, -11.662, 2.254, 3.822, 26, 0.16476, 0.16861, -0.04953, 0.97049,
 16:01:43.530,d7:c3:4a:8c:31:30, 2015-01-01 00:16:22.400, 0.231, 0.203, 0.859, 63.049, 12.146, 143.738, 2.823, -19.836, -147.931, -9.506, 2.254, 2.254, 26, 0.16476, 0.16861, -0.04953, 0.97049,
 16:01:43.619,d7:c3:4a:8c:31:30, 2015-01-01 00:16:22.400, 0.59, 0.15, 0.501, 90.454, 39.795, 148.621, 5.499, -20.748, -129.342, -9.506, 2.254, 2.254, 26, -0.46988, 0.13739, 0.12988, 0.86218,
 16:01:43.791,d7:c3:4a:8c:31:30, 2015-01-01 00:16:22.820, 0.333, 0.093, 1.32, 57.739, -2.563, 140.198, 6.301, -21.78, -111.703, -9.506, 2.254, 2.254, 26, -0.46988, 0.13739, 0.12988, 0.86218,
 16:01:43.830,d7:c3:4a:8c:31:30, 2015-01-01 00:16:22.820, 0.331, 0.049, 0.896, 61.035, 23.926, 146.484, 7.009, -22.906, -94.708, -9.506, 2.254, 2.254, 26, -0.46988, 0.13739, 0.12988, 0.86218,
 16:01:43.950,d7:c3:4a:8c:31:30, 2015-01-01 00:16:22.820, 0.507, -0.016, 1.052, 67.81, -17.151, 143.066, 7.224, -24.543, -78.766, -10.976, 2.156, 2.744, 26, -0.46988, 0.13739, 0.12988, 0.86218,
 16:01:44.087,d7:c3:4a:8c:31:30, 2015-01-01 00:16:22.820, 0.234, 0.143, 1.208, 54.688, -33.508, 142.761, 6.658, -25.801, -63.759, -10.976, 2.156, 2.744, 26, -0.82755, 0.06934, 0.21545, 0.51364,
 16:01:44.160,d7:c3:4a:8c:31:30, 2015-01-01 00:16:23.175, 0.562, 0.06, 0.803, 55.176, 11.719, 144.165, 5.85, -27.037, -49.444, -10.976, 2.156, 2.744, 26, -0.82755, 0.06934, 0.21545, 0.51364,
 16:01:44.221,d7:c3:4a:8c:31:30, 2015-01-01 00:16:23.175, 0.5, -0.14, 1.951, 17.029, -244.446, 103.394, 4.686, -33.986, -39.161, -10.976, 2.156, 2.744, 26, -0.82755, 0.06934, 0.21545, 0.51364,
 16:01:44.421,d7:c3:4a:8c:31:30, 2015-01-01 00:16:23.175, 0.75, 0.392, 0.73, 61.646, 21.301, 130.31, 2.703, -33.618, -27.411, -12.838, 2.058, 3.136, 26, -0.82755, 0.06934, 0.21545, 0.51364,
 16:01:44.429,d7:c3:4a:8c:31:30, 2015-01-01 00:16:23.175, 0.478, 0.142, 1.376, 48.767, -45.105, 139.893, 0.45, -36.052, -14.409, -12.838, 2.058, 3.136, 26, -0.94498, 0.0332, 0.30508, 0.11292,
 16:01:44.550,d7:c3:4a:8c:31:30, 2015-01-01 00:16:23.625, 0.476, 0.083, 0.837, 70.679, 18.25, 141.541, -1.527, -35.184, -1.714, -12.838, 2.058, 3.136, 26, -0.94498, 0.0332, 0.30508, 0.11292,
 16:01:44.685,d7:c3:4a:8c:31:30, 2015-01-01 00:16:23.625, 0.727, 0.128, 0.833, 75.073, 11.475, 133.484, -2.774, -35.755, 10.69, -12.838, 2.058, 3.136, 26, -0.94498, 0.0332, 0.30508, 0.11292,
 16:01:44.760,d7:c3:4a:8c:31:30, 2015-01-01 00:16:23.625, 0.743, -0.026, 1.502, 93.384, 35.095, 146.79, -4.12, -35.651, 22.61, -13.524, 2.156, 3.234, 26, -0.94498, 0.0332, 0.30508, 0.11292,
 16:01:44.821,d7:c3:4a:8c:31:30, 2015-01-01 00:16:23.625, 0.865, 0.186, 1.217, 83.984, -45.898, 129.761, -5.938, -35.744, 33.739, -13.524, 2.156, 3.234, 26, -0.91708, -0.0383, 0.30557, -0.25305,
 16:01:45.006,d7:c3:4a:8c:31:30, 2015-01-01 00:16:23.980, 0.381, 0.076, 1.097, 81.482, -26.55, 126.831, -7.306, -35.821, 43.737, -13.524, 2.156, 3.234, 26, -0.91708, -0.0383, 0.30557, -0.25305,
 16:01:45.030,d7:c3:4a:8c:31:30, 2015-01-01 00:16:23.980, 0.266, 0, 0.763, 76.355, 23.56, 138.55, -8.937, -35.118, 54.047, -13.524, 2.156, 3.234, 26, -0.91708, -0.0383, 0.30557, -0.25305,
 16:01:45.151,d7:c3:4a:8c:31:30, 2015-01-01 00:16:23.980, 0.5, -0.007, 0.52, 74.036, 0.244, 131.348, -10.3, -34.283, 63.896, -14.798, 2.254, 4.802, 26, -0.79077, -0.09467, 0.28867, -0.53131,
 16:01:45.300,d7:c3:4a:8c:31:30, 2015-01-01 00:16:24.340, 0.382, 0.104, 0.882, 74.402, -18.982, 133.728, -11.129, -33.739, 72.971, -14.798, 2.254, 4.802, 26, -0.79077, -0.09467, 0.28867, -0.53131,
 16:01:45.360,d7:c3:4a:8c:31:30, 2015-01-01 00:16:24.340, 0.451, 0.043, 0.594, 86.853, 26.428, 132.629, -11.464, -32.377, 81.865, -14.798, 2.254, 4.802, 26, -0.79077, -0.09467, 0.28867, -0.53131,
 16:01:45.451,d7:c3:4a:8c:31:30, 2015-01-01 00:16:24.340, 0.5, -0.324, 1.005, 78.43, -79.59, 135.315, -10.684, -30.608, 89.934, -14.798, 2.254, 4.802, 26, -0.79077, -0.09467, 0.28867, -0.53131,
 16:01:45.626,d7:c3:4a:8c:31:30, 2015-01-01 00:16:24.340, 0.341, 0.169, 0.993, 71.35, -19.775, 138.733, -11.173, -29.625, 98.487, -12.152, 2.352, 4.018, 26, -0.61078, -0.13889, 0.22705, -0.74564,
 16:01:45.630,d7:c3:4a:8c:31:30, 2015-01-01 00:16:24.725, 0.526, 0.169, 0.719, 74.524, 4.822, 139.893, -11.206, -28.103, 107.38, -12.152, 2.352, 4.018, 26, -0.61078, -0.13889, 0.22705, -0.74564,
 16:01:45.750,d7:c3:4a:8c:31:30, 2015-01-01 00:16:24.725, 0.456, 0.046, 1.072, 77.637, 8.789, 137.695, -10.904, -26.752, 116.164, -12.152, 2.352, 4.018, 26, -0.61078, -0.13889, 0.22705, -0.74564,
 16:01:45.900,d7:c3:4a:8c:31:30, 2015-01-01 00:16:24.725, 1.087, 0.071, 0.848, 70.679, -9.338, 137.512, -9.761, -23.719, 135.72, -12.152, 2.352, 4.018, 26, -0.61078, -0.13889, 0.22705, -0.74564,
 16:01:45.961,d7:c3:4a:8c:31:30, 2015-01-01 00:16:24.725, 0.439, -0.095, 1.626, 79.407, -46.326, 139.038, -6.806, -21.341, 156.797, -9.604, 2.156, 1.960, 26, -0.61078, -0.13889, 0.22705, -0.74564,
 16:01:46.177,d7:c3:4a:8c:31:30, 2015-01-01 00:16:24.725, 0.49, 0.318, 0.354, 73.486, 19.653, 137.756, -3.01, -19.078, 177.056, -9.604, 2.156, 1.960, 26, 0.04929, -0.16125, 0.00308, -0.98563,
 16:01:46.177,d7:c3:4a:8c:31:30, 2015-01-01 00:16:24.725, 0.449, 0.134, 1.009, 72.083, -12.573, 141.235, 0.368, -18.116, -163.378, -9.604, 2.156, 1.960, 26, 0.04929, -0.16125, 0.00308, -0.98563,
 16:01:46.230,d7:c3:4a:8c:31:30, 2015-01-01 00:16:25.205, 0.329, 0.071, 0.837, 75.378, 28.503, 145.02, 3.362, -18.391, -144.514, -9.604, 2.156, 1.960, 26, 0.04929, -0.16125, 0.00308, -0.98563,
 16:01:46.404,d7:c3:4a:8c:31:30, 2015-01-01 00:16:25.205, 0.658, 0.155, 0.508, 74.158, 3.784, 138.794, 5.565, -20.182, -126.727, -9.604, 2.156, 1.960, 26, 0.04929, -0.16125, 0.00308, -0.98563,
 16:01:46.440,d7:c3:4a:8c:31:30, 2015-01-01 00:16:25.205, 0.018, -0.029, 1.538, 64.209, -41.748, 136.963, 6.976, -22.813, -110.039, -12.152, 2.058, 3.136, 26, 0.04929, -0.16125, 0.00308, -0.98563,
 16:01:46.629,d7:c3:4a:8c:31:30, 2015-01-01 00:16:25.680, 0.895, -0.001, 0.22, 118.713, 13.733, 96.619, 7.778, -25.01, -95.191, -12.152, 2.058, 3.136, 26, 0.67279, -0.13843, -0.21875, -0.69299,
 16:01:46.681,d7:c3:4a:8c:31:30, 2015-01-01 00:16:25.680, 0.296, -0.223, 1.363, 81.604, -18.372, 120.789, 7.987, -32.184, -82.804, -12.152, 2.058, 3.136, 26, 0.67279, -0.13843, -0.21875, -0.69299,
 16:01:46.770,d7:c3:4a:8c:31:30, 2015-01-01 00:16:25.680, 0.408, 0.025, 0.72, 91.858, -10.986, 129.517, 7.855, -32.459, -68.11, -12.152, 2.058, 3.136, 26, 0.67279, -0.13843, -0.21875, -0.69299,
 16:01:46.916,d7:c3:4a:8c:31:30, 2015-01-01 00:16:25.680, 0.486, 0.099, 0.635, 91.553, 30.762, 138, 7.344, -34.431, -53.97, -13.132, 2.156, 3.234, 26, 0.67279, -0.13843, -0.21875, -0.69299,
 16:01:46.980,d7:c3:4a:8c:31:30, 2015-01-01 00:16:25.680, 0.61, 0.08, 0.713, 94.421, -6.042, 133.667, 6.103, -36.205, -39.864, -13.132, 2.156, 3.234, 26, 0.88815, -0.06516, -0.30801, -0.33459,
 16:01:47.040,d7:c3:4a:8c:31:30, 2015-01-01 00:16:26.155, 0.149, 0.513, 0.521, 59.143, 20.508, 122.009, 6.037, -37.919, -26.581, -13.132, 2.156, 3.234, 26, 0.88815, -0.06516, -0.30801, -0.33459,
 16:01:47.264,d7:c3:4a:8c:31:30, 2015-01-01 00:16:26.155, 0.248, -0.049, 0.32, 86.975, 2.258, 126.16, 3.164, -38.705, -13.359, -13.132, 2.156, 3.234, 26, 0.88815, -0.06516, -0.30801, -0.33459,
 16:01:47.264,d7:c3:4a:8c:31:30, 2015-01-01 00:16:26.155, 0.496, 0.037, 0.414, 95.886, -28.564, 119.629, 1.708, -39.364, -1.642, -13.132, 2.156, 3.234, 26, 0.88815, -0.06516, -0.30801, -0.33459,
 16:01:47.371,d7:c3:4a:8c:31:30, 2015-01-01 00:16:26.155, 0.473, 0.062, 0.822, 79.59, -2.563, 128.357, 0.379, -40.095, 9.657, -14.700, 2.058, 4.508, 26, 0.92938, 0.04251, -0.34357, 0.12762,
 16:01:47.524,d7:c3:4a:8c:31:30, 2015-01-01 00:16:26.545, 0.605, 0.152, 0.931, 72.388, 16.724, 132.812, -1.736, -39.979, 21.088, -14.700, 2.058, 4.508, 26, 0.92938, 0.04251, -0.34357, 0.12762,
 16:01:47.579,d7:c3:4a:8c:31:30, 2015-01-01 00:16:26.545, 0.616, 0.104, 0.748, 90.21, -18.066, 126.343, -3.433, -40.199, 31.564, -14.700, 2.058, 4.508, 26, 0.92938, 0.04251, -0.34357, 0.12762,
 16:01:47.645,d7:c3:4a:8c:31:30, 2015-01-01 00:16:26.545, 0.314, 0.158, 0.847, 86.365, -27.649, 124.756, -4.9, -39.88, 41.946, -14.014, 2.254, 5.194, 26, 0.92938, 0.04251, -0.34357, 0.12762,
 16:01:47.826,d7:c3:4a:8c:31:30, 2015-01-01 00:16:26.545, 0.62, 0.214, 0.189, 44.861, 85.388, 114.929, -4.614, -39.589, 52.059, -14.014, 2.254, 5.194, 26, 0.84875, 0.11359, -0.3183, 0.40659,
